cik,gics_sector,year,E_score,G_score
0000200406,Health Care,2024,0.060491793221765996,0.43409407861752963
0000200406,Health Care,2025,,
0000201533,Utilities,2022,0.43365666423698257,0.15152853820448187
0000201533,Utilities,2023,0.5143925669592008,0.15490826649337439
0000201533,Utilities,2024,0.6477796423996143,0.14081479341661096
0000201533,Utilities,2025,,
0000202058,Industrials,2019,0.06621471148273864,0.1549430447087538
0000202058,Industrials,2021,0.056146235419320366,0.21023765125525787
0000202058,Industrials,2022,0.11692702741658154,0.2628168197946589
0000202058,Industrials,2023,0.11008713873146159,0.27396638112609384
0000202058,Industrials,2024,0.1494414295037816,0.2029247567412803
0000202058,Industrials,2025,,
0000217346,Industrials,2015,0.04772082270082678,0.2268971915600986
0000217346,Industrials,2016,0.04810752519997239,0.2328831628088112
0000217346,Industrials,2017,0.045132272358789007,0.23892663184264581
0000217346,Industrials,2018,0.05148350460958926,0.2280261375276741
0000217346,Industrials,2019,0.05892239353660474,0.25753364510416965
0000217346,Industrials,2020,0.08563725804339407,0.2308874133804406
0000217346,Industrials,2021,0.06224718083120945,0.22609349112593574
0000217346,Industrials,2022,0.0920032631413109,0.24383294937053027
0000217346,Industrials,2023,0.11117115924225375,0.23764059479408722
0000217346,Industrials,2024,0.11655589649402426,0.24132722440275678
0000217346,Industrials,2025,,
0000277135,Industrials,2015,0.007876330461226558,0.07704699446207036
0000277135,Industrials,2016,0.014405204460966542,0.12782694454543853
0000277135,Industrials,2017,0.011337491337491337,0.1196425715656485
0000277135,Industrials,2018,0.011273648648648648,0.19065829416372895
0000277135,Industrials,2019,0.010524814603536792,0.130791095739273
0000277135,Industrials,2020,0.019490667865977064,0.20865390591364738
0000277135,Industrials,2021,0.029229476841341067,0.2060658048739518
0000277135,Industrials,2022,0.07057905821962225,0.3605317167674319
0000277135,Industrials,2023,0.07655261885006123,0.451890882936799
0000277135,Industrials,2024,0.0827923815628398,0.4544882079030056
0000277135,Industrials,2025,,
0000277948,Industrials,2015,0.2964705882352941,0.07090620031796503
0000277948,Industrials,2016,0.08732394366197184,0.12056338028169014
0000277948,Industrials,2017,0.08193656093489148,0.07362270450751253
0000277948,Industrials,2018,0.09415950994520665,0.06773675762439808
0000277948,Industrials,2019,0.19428722873534546,0.0985781990521327
0000277948,Industrials,2020,0.16556019879892317,0.11127272727272727
0000277948,Industrials,2021,0.157770811563915,0.11272727272727273
0000277948,Industrials,2022,0.19200238338440584,0.13393939393939394
